Year,most_hits_player_id,highest_batting_average_player_id,most_RBI_player_id,most_stolen_bases_player_id,homerun_leader_player_id
2024,5531,2286,7239,4633,7239
2023,5545,0132,0158,4633,3625
2022,2286,2286,2286,4633,3625
2021,0929,3609,1318,2286,1318
2020,1804,1804,2275,4633,2275
2019,1318,2286,3144,0929,1318
2018,1804,3609,3337,0929,3183
2017,0935,0935,0935,3211,0935
2016,0935,0935,3467,3345,3338
2015,3615,3615,3144,3345,3338
2014,3615,3615,3144,3345,3338
2013,3144,3144,0486,3211,3144
2012,3395,2626,0486,3183,0045
2011,3395,3395,3467,3395,3467
2010,0486,0667,0045,0282,0045
2009,0847,2626,3144,3211,0045
2008,2950,0667,2637,3211,2637
2007,2601,0064,2637,0016,2637
2006,0486,2950,0064,0283,0486
2005,2600,0667,0791,2600,0791
2004,0667,0667,0486,0246,0486
2003,0670,0667,0670,2548,0486
2002,0180,3928,3798,2548,2475
2001,3899,2470,3738,2548,3738
2000,0180,0180,0180,2548,3738
1999,3895,3876,0486,2548,0613
1998,0228,0228,0228,0451,0228
1997,0613,0613,0613,0451,2531
1996,0375,0570,3759,2508,3759
1995,0570,3744,0570,0173,0387
1994,0570,3744,0401,0551,0484
1993,0375,0375,0387,0551,3762
1992,2470,2469,2468,0551,3738
1991,0443,3759,0443,0551,3738
1990,0551,0573,3759,0551,3759
