year,league_plate_appearances,league_at_bats,league_total_bases,league_slugging_percentage,league_on_base_percentage
1990,14146,12688,4593,0.3164145341439276,0.3619955863808323
1991,13985,12451,4487,0.3097604576331784,0.3603726608304554
1992,13942,12190,4811,0.3297231387175441,0.39466776045939295
1993,20885,18596,6973,0.3184103423509696,0.37497311249731125
1994,20587,18515,7398,0.3199591975518531,0.3995679179044018
1995,22832,20283,7728,0.321697617379117,0.3810087265197456
1996,23611,21045,8756,0.338486298759053,0.4160608220479924
1997,27712,24625,9461,0.32816108545034645,0.3842030456852792
1998,25230,22137,8470,0.33499801823226316,0.38261733748927135
1999,21411,19034,6727,0.31614590630984074,0.3534201954397394
2000,14221,12510,4498,0.3171366289290486,0.3595523581135092
2001,14457,12650,4619,0.32399529639620944,0.36513833992094863
2002,14065,12224,4755,0.3357269818698898,0.38898887434554974
2003,23420,20608,7506,0.3232707087959009,0.36422748447204967
2004,23149,20344,7092,0.3102077843535358,0.3486040110106174
2005,25648,22747,8160,0.31815346225826574,0.3587286235547545
2006,30370,26888,9871,0.32663812973328943,0.3671154418327879
2007,29346,26110,10411,0.3413071628160567,0.3987361164304864
2008,28394,25306,9853,0.34060012678734947,0.38935430332727416
2009,22721,20115,8144,0.35403371330487216,0.40487198608003977
2010,20742,18376,6255,0.32316073666955936,0.3403896386591206
2011,17533,15455,5970,0.3409000171105915,0.386282756389518
2012,17903,15659,6444,0.3603865273976429,0.4115205313238393
2013,16584,14745,5651,0.34364447660395564,0.3832485588335029
2014,16646,14765,5528,0.33533581641235133,0.3743989163562479
2015,18377,16158,7104,0.36610981117701474,0.4396583735610843
2016,19383,17058,8071,0.37233658360418925,0.4731504279516942
2017,22137,19458,8887,0.3639156163888512,0.45672731010381334
2018,22950,20250,8714,0.3574291938997821,0.430320987654321
2019,25289,22336,9595,0.3503499545256831,0.4295755730659026
2020,34457,30222,14487,0.37231912238442116,0.4793527893587453
2021,34729,30493,11157,0.3296956434104063,0.3658872528121208
2022,34506,30625,10819,0.32513186112560133,0.3532734693877551
2023,43018,37673,13549,0.33209354223813287,0.359647492899424
2024,45504,39917,14363,0.33263009845288327,0.35982162988200517
